n:75 mse_avg:990.05 mse_y:1474.95 mse_u:17.58 mse_v:22.91 psnr_avg:18.17 psnr_y:16.44 psnr_u:35.68 psnr_v:34.53 
n:76 mse_avg:983.50 mse_y:1465.07 mse_u:17.56 mse_v:23.16 psnr_avg:18.20 psnr_y:16.47 psnr_u:35.68 psnr_v:34.48 
n:77 mse_avg:950.16 mse_y:1415.27 mse_u:17.17 mse_v:22.71 psnr_avg:18.35 psnr_y:16.62 psnr_u:35.78 psnr_v:34.57 
n:78 mse_avg:917.74 mse_y:1366.86 mse_u:16.77 mse_v:22.27 psnr_avg:18.50 psnr_y:16.77 psnr_u:35.88 psnr_v:34.65 
n:79 mse_avg:840.55 mse_y:1251.34 mse_u:16.64 mse_v:21.32 psnr_avg:18.89 psnr_y:17.16 psnr_u:35.92 psnr_v:34.84 
n:80 mse_avg:780.37 mse_y:1161.43 mse_u:15.82 mse_v:20.66 psnr_avg:19.21 psnr_y:17.48 psnr_u:36.14 psnr_v:34.98 
n:81 mse_avg:749.76 mse_y:1115.79 mse_u:15.51 mse_v:19.89 psnr_avg:19.38 psnr_y:17.65 psnr_u:36.23 psnr_v:35.14 
n:82 mse_avg:677.98 mse_y:1008.70 mse_u:14.48 mse_v:18.59 psnr_avg:19.82 psnr_y:18.09 psnr_u:36.52 psnr_v:35.44 
n:83 mse_avg:620.85 mse_y:923.45 mse_u:13.78 mse_v:17.55 psnr_avg:20.20 psnr_y:18.48 psnr_u:36.74 psnr_v:35.69 
n:84 mse_avg:602.32 mse_y:895.99 mse_u:13.20 mse_v:16.77 psnr_avg:20.33 psnr_y:18.61 psnr_u:36.93 psnr_v:35.89 
n:85 mse_avg:575.05 mse_y:855.67 mse_u:12.17 mse_v:15.44 psnr_avg:20.53 psnr_y:18.81 psnr_u:37.28 psnr_v:36.25 
n:86 mse_avg:522.61 mse_y:777.62 mse_u:11.06 mse_v:14.13 psnr_avg:20.95 psnr_y:19.22 psnr_u:37.69 psnr_v:36.63 
n:87 mse_avg:501.82 mse_y:746.67 mse_u:10.80 mse_v:13.42 psnr_avg:21.13 psnr_y:19.40 psnr_u:37.80 psnr_v:36.85 
n:88 mse_avg:446.75 mse_y:664.81 mse_u:9.48 mse_v:11.80 psnr_avg:21.63 psnr_y:19.90 psnr_u:38.36 psnr_v:37.41 
n:89 mse_avg:405.15 mse_y:603.03 mse_u:8.45 mse_v:10.36 psnr_avg:22.05 psnr_y:20.33 psnr_u:38.86 psnr_v:37.98 
n:90 mse_avg:400.32 mse_y:595.93 mse_u:8.31 mse_v:9.89 psnr_avg:22.11 psnr_y:20.38 psnr_u:38.94 psnr_v:38.18 
n:91 mse_avg:414.73 mse_y:617.50 mse_u:8.68 mse_v:9.71 psnr_avg:21.95 psnr_y:20.22 psnr_u:38.75 psnr_v:38.26 
n:92 mse_avg:416.93 mse_y:621.07 mse_u:8.28 mse_v:9.01 psnr_avg:21.93 psnr_y:20.20 psnr_u:38.95 psnr_v:38.58 
n:93 mse_avg:418.26 mse_y:623.17 mse_u:8.21 mse_v:8.68 psnr_avg:21.92 psnr_y:20.18 psnr_u:38.99 psnr_v:38.75 
n:94 mse_avg:429.59 mse_y:640.17 mse_u:8.34 mse_v:8.54 psnr_avg:21.80 psnr_y:20.07 psnr_u:38.92 psnr_v:38.82 
n:95 mse_avg:451.41 mse_y:672.97 mse_u:8.15 mse_v:8.47 psnr_avg:21.59 psnr_y:19.85 psnr_u:39.02 psnr_v:38.85 
n:96 mse_avg:473.74 mse_y:706.47 mse_u:8.11 mse_v:8.41 psnr_avg:21.38 psnr_y:19.64 psnr_u:39.04 psnr_v:38.88 
n:97 mse_avg:554.54 mse_y:827.52 mse_u:8.45 mse_v:8.68 psnr_avg:20.69 psnr_y:18.95 psnr_u:38.86 psnr_v:38.75 
n:98 mse_avg:566.75 mse_y:846.01 mse_u:8.29 mse_v:8.17 psnr_avg:20.60 psnr_y:18.86 psnr_u:38.95 psnr_v:39.01 
n:99 mse_avg:568.44 mse_y:848.59 mse_u:8.38 mse_v:7.90 psnr_avg:20.58 psnr_y:18.84 psnr_u:38.90 psnr_v:39.15 
n:100 mse_avg:696.98 mse_y:1039.16 mse_u:9.88 mse_v:15.34 psnr_avg:19.70 psnr_y:17.96 psnr_u:38.18 psnr_v:36.27 
n:101 mse_avg:768.97 mse_y:1145.24 mse_u:11.16 mse_v:21.66 psnr_avg:19.27 psnr_y:17.54 psnr_u:37.65 psnr_v:34.77 
n:102 mse_avg:785.08 mse_y:1169.18 mse_u:11.51 mse_v:22.23 psnr_avg:19.18 psnr_y:17.45 psnr_u:37.52 psnr_v:34.66 
n:103 mse_avg:827.74 mse_y:1233.76 mse_u:12.70 mse_v:18.71 psnr_avg:18.95 psnr_y:17.22 psnr_u:37.09 psnr_v:35.41 
n:104 mse_avg:878.54 mse_y:1309.52 mse_u:13.27 mse_v:19.90 psnr_avg:18.69 psnr_y:16.96 psnr_u:36.90 psnr_v:35.14 
n:105 mse_avg:913.44 mse_y:1361.37 mse_u:13.91 mse_v:21.25 psnr_avg:18.52 psnr_y:16.79 psnr_u:36.70 psnr_v:34.86 
n:106 mse_avg:926.43 mse_y:1380.67 mse_u:14.72 mse_v:21.15 psnr_avg:18.46 psnr_y:16.73 psnr_u:36.45 psnr_v:34.88 
n:107 mse_avg:935.07 mse_y:1394.22 mse_u:14.49 mse_v:19.05 psnr_avg:18.42 psnr_y:16.69 psnr_u:36.52 psnr_v:35.33 
n:108 mse_avg:964.86 mse_y:1439.02 mse_u:15.03 mse_v:18.06 psnr_avg:18.29 psnr_y:16.55 psnr_u:36.36 psnr_v:35.56 
n:109 mse_avg:1026.14 mse_y:1530.68 mse_u:16.70 mse_v:17.45 psnr_avg:18.02 psnr_y:16.28 psnr_u:35.90 psnr_v:35.71 
n:110 mse_avg:1073.28 mse_y:1600.79 mse_u:17.89 mse_v:18.62 psnr_avg:17.82 psnr_y:16.09 psnr_u:35.61 psnr_v:35.43 
n:111 mse_avg:1131.58 mse_y:1687.46 mse_u:19.13 mse_v:20.51 psnr_avg:17.59 psnr_y:15.86 psnr_u:35.31 psnr_v:35.01 
